"Genes";"Ppol_1";"Ppol_2";"HB27_1";"HB27_2";"mean";"cluster"
"TT_P0140";2.571;0.339;3.269;3.317;2.374;"Highly Permissive"
"TT_P0141";-0.011;-0.92;-0.61;-0.647;-0.547;"Intermediate"
"TT_P0142";-0.224;-0.92;-0.286;-0.516;-0.486;"Intermediate"
"TT_P0143";-0.752;-0.92;-0.671;-0.7;-0.761;"Less Permissive"
"TT_P0144";-0.561;0.367;-0.413;-0.766;-0.343;"Intermediate"
"TT_P0145";0.732;0.285;0.601;0.653;0.568;"Highly Permissive"
"TT_P0146";-0.395;0.514;-0.646;-0.285;-0.203;"Intermediate"
"TT_P0147";-0.521;-0.524;-0.675;-0.45;-0.543;"Intermediate"
"TT_P0148";-0.92;-0.92;-0.845;-0.696;-0.845;"Less Permissive"
"TT_P0149";-0.92;-0.92;-0.567;-0.799;-0.802;"Intermediate"
"TT_P0150";-0.438;-0.92;-0.707;-0.799;-0.716;"Intermediate"
"TT_P0151";-0.92;-0.92;-0.845;-0.799;-0.871;"Less Permissive"
"TT_P0152";-0.92;-0.92;-0.845;-0.799;-0.871;"Less Permissive"
"TT_P0153";0.304;-0.92;-0.845;-0.799;-0.565;"Intermediate"
"TT_P0154";-0.521;-0.211;-0.405;-0.751;-0.472;"Intermediate"
"TT_P0155";-0.92;-0.69;-0.685;-0.491;-0.697;"Intermediate"
"TT_P0156";-0.587;-0.808;-0.218;-0.799;-0.603;"Intermediate"
"TT_P0157";-0.74;-0.92;-0.49;-0.409;-0.64;"Intermediate"
"TT_P0158";-0.92;-0.92;-0.714;-0.799;-0.838;"Less Permissive"
"TT_P0159";-0.92;-0.92;-0.845;-0.799;-0.871;"Less Permissive"
"TT_P0160";4.767;1.499;4.173;3.413;3.463;"Highly Permissive"
"TT_P0161";-0.479;0.038;-0.557;-0.208;-0.302;"Intermediate"
"TT_P0162";2.531;2.254;2.136;2.357;2.32;"Highly Permissive"
"TT_P0163";-0.92;-0.92;-0.254;-0.743;-0.709;"Intermediate"
"TT_P0164";-0.063;1.054;-0.714;-0.293;-0.004;"Intermediate"
"TT_P0165";-0.85;-0.629;-0.55;-0.799;-0.707;"Intermediate"
"TT_P0166";-0.769;-0.92;-0.436;-0.754;-0.72;"Intermediate"
"TT_P0167";-0.536;0.829;-0.593;-0.586;-0.222;"Intermediate"
"TT_P0168";-0.08;0.548;0.197;0.729;0.348;"Intermediate"
"TT_P0169";-0.479;-0.832;-0.726;-0.679;-0.679;"Intermediate"
"TT_P0170";-0.255;-0.92;-0.499;-0.799;-0.618;"Intermediate"
"TT_P0171";3.342;1.473;3.675;3.913;3.101;"Highly Permissive"
"TT_P0172";2.836;1.878;2.079;2.506;2.325;"Highly Permissive"
"TT_P0173";-0.676;-0.92;-0.661;-0.654;-0.728;"Less Permissive"
"TT_P0174";-0.44;0.767;-0.278;0.372;0.105;"Intermediate"
"TT_P0175";-0.417;-0.92;-0.732;-0.613;-0.67;"Intermediate"
"TT_P0176";1.22;0.528;1.918;1.81;1.369;"Highly Permissive"
"TT_P0177";-0.561;0.098;-0.641;-0.499;-0.401;"Intermediate"
"TT_P0178";-0.216;1.644;0.808;1.193;0.857;"Highly Permissive"
"TT_P0179";-0.691;0.797;-0.441;-0.355;-0.172;"Intermediate"
"TT_P0180";-0.85;-0.485;-0.593;-0.397;-0.581;"Intermediate"
"TT_P0181";-0.92;-0.92;-0.698;-0.799;-0.834;"Less Permissive"
"TT_P0182";-0.631;-0.892;-0.74;-0.65;-0.728;"Less Permissive"
"TT_P0183";-0.126;-0.92;-0.733;-0.4;-0.545;"Intermediate"
"TT_P0184";-0.311;-0.92;-0.845;0.037;-0.51;"Intermediate"
"TT_P0185";-0.92;-0.92;-0.776;-0.799;-0.854;"Less Permissive"
"TT_P0186";-0.92;-0.825;-0.341;-0.712;-0.7;"Intermediate"
"TT_P0187";-0.306;-0.92;-0.558;-0.735;-0.63;"Intermediate"
"TT_P0188";-0.719;-0.854;-0.313;-0.799;-0.671;"Intermediate"
"TT_P0189";-0.473;-0.514;-0.575;-0.306;-0.467;"Intermediate"
"TT_P0190";-0.326;0.363;-0.845;-0.183;-0.248;"Intermediate"
"TT_P0191";0.077;0.162;-0.25;0.032;0.005;"Intermediate"
"TT_P0192";-0.92;-0.92;-0.845;-0.799;-0.871;"Less Permissive"
"TT_P0193";-0.81;-0.849;-0.731;-0.734;-0.781;"Less Permissive"
"TT_P0194";1.232;2.315;2.21;1.567;1.831;"Highly Permissive"
"TT_P0195";-0.92;-0.92;-0.845;-0.799;-0.871;"Less Permissive"
"TT_P0196";-0.445;0.88;0.056;0.089;0.145;"Intermediate"
"TT_P0197";-0.398;-0.614;-0.819;-0.593;-0.606;"Intermediate"
"TT_P0198";0.451;-0.219;0.233;0.378;0.211;"Intermediate"
"TT_P0199";-0.556;-0.085;-0.497;-0.222;-0.34;"Intermediate"
"TT_P0200";-0.256;-0.92;-0.664;-0.742;-0.645;"Intermediate"
"TT_P0201";2.13;2.428;2.15;3.051;2.44;"Highly Permissive"
"TT_P0204";-0.393;-0.487;-0.697;-0.349;-0.482;"Intermediate"
"TT_P0205";-0.559;-0.92;-0.8;-0.799;-0.769;"Intermediate"
"TT_P0206";-0.624;-0.502;-0.808;-0.738;-0.668;"Intermediate"
"TT_P0207";-0.92;-0.589;-0.717;-0.799;-0.756;"Intermediate"
"TT_P0208";-0.242;1.016;-0.622;-0.463;-0.078;"Intermediate"
"TT_P0209";-0.741;-0.92;-0.813;-0.412;-0.721;"Intermediate"
"TT_P0210";-0.841;-0.92;-0.771;-0.752;-0.821;"Less Permissive"
"TT_P0211";-0.473;-0.41;-0.231;-0.475;-0.397;"Intermediate"
"TT_P0212";-0.92;-0.92;-0.845;-0.56;-0.811;"Intermediate"
"TT_P0213";-0.92;-0.92;-0.736;-0.772;-0.837;"Less Permissive"
"TT_P0214";-0.787;-0.92;-0.664;-0.799;-0.792;"Less Permissive"
"TT_P0215";-0.92;-0.92;-0.527;-0.799;-0.792;"Intermediate"
"TT_P0216";-0.714;-0.92;-0.632;-0.717;-0.746;"Less Permissive"
"TT_P0217";-0.158;-0.92;-0.648;-0.75;-0.619;"Intermediate"
"TT_P0218";-0.234;0.399;0.093;0.152;0.102;"Intermediate"
"TT_P0219";-0.568;-0.897;-0.503;-0.699;-0.667;"Intermediate"
"TT_P0220";-0.142;-0.75;-0.537;-0.629;-0.515;"Intermediate"
"TT_P0221";-0.222;-0.885;-0.686;-0.674;-0.617;"Intermediate"
"TT_P0222";2.688;1.304;2.058;2.59;2.16;"Highly Permissive"
"TT_P0223";-0.231;0.256;-0.24;-0.625;-0.21;"Intermediate"
"TT_P0224";-0.579;-0.842;-0.845;-0.799;-0.766;"Intermediate"
"TT_P0225";-0.276;-0.325;-0.542;-0.658;-0.45;"Intermediate"
"TT_P0226";-0.92;-0.92;-0.776;-0.799;-0.854;"Less Permissive"
"TT_P0227";-0.545;-0.38;-0.431;-0.759;-0.529;"Intermediate"
"TT_P0228";-0.267;-0.92;-0.321;-0.688;-0.549;"Intermediate"
"TT_P0229";0.077;-0.495;0.03;0.212;-0.044;"Intermediate"
"TT_P0230";-0.613;-0.92;-0.594;-0.735;-0.716;"Intermediate"
